kind,parent_hierarchy,parents,code,name,abbr,lat,lng
5,6:76,3=76;3=76&4=1,11,Rondônia,RO,,
5,6:76,3=76;3=76&4=1,12,Acre,AC,,
5,6:76,3=76;3=76&4=1,13,Amazonas,AM,,
5,6:76,3=76;3=76&4=1,14,Roraima,RR,,
5,6:76,3=76;3=76&4=1,15,Pará,PA,,
5,6:76,3=76;3=76&4=1,16,Amapá,AP,,
5,6:76,3=76;3=76&4=1,17,Tocantins,TO,,
5,6:76,3=76;3=76&4=2,21,Maranhão,MA,,
5,6:76,3=76;3=76&4=2,22,Piauí,PI,,
5,6:76,3=76;3=76&4=2,23,Ceará,CE,,
5,6:76,3=76;3=76&4=2,24,Rio Grande do Norte,RN,,
5,6:76,3=76;3=76&4=2,25,Paraíba,PB,,
5,6:76,3=76;3=76&4=2,26,Pernambuco,PE,,
5,6:76,3=76;3=76&4=2,27,Alagoas,AL,,
5,6:76,3=76;3=76&4=2,28,Sergipe,SE,,
5,6:76,3=76;3=76&4=2,29,Bahia,BA,,
5,6:76,3=76;3=76&4=3,31,Minas Gerais,MG,,
5,6:76,3=76;3=76&4=3,32,Espírito Santo,ES,,
5,6:76,3=76;3=76&4=3,33,Rio de Janeiro,RJ,,
5,6:76,3=76;3=76&4=3,35,São Paulo,SP,,
5,6:76,3=76;3=76&4=4,41,Paraná,PR,,
5,6:76,3=76;3=76&4=4,42,Santa Catarina,SC,,
5,6:76,3=76;3=76&4=4,43,Rio Grande do Sul,RS,,
5,6:76,3=76;3=76&4=5,50,Mato Grosso do Sul,MS,,
5,6:76,3=76;3=76&4=5,51,Mato Grosso,MT,,
5,6:76,3=76;3=76&4=5,52,Goiás,GO,,
5,6:76,3=76;3=76&4=5,53,Distrito Federal,DF,,
